Question,Answer,Age,Gender,Personality
I tend to stick to my plans even if unexpected opportunities arise.,7,20,1,Judging
I prefer to make decisions quickly rather than ponder all the possibilities.,7,47,1,Judging
I enjoy having a clear sense of direction and purpose.,7,44,0,Judging
I feel unsettled when plans change at the last minute.,7,41,1,Judging
I prefer to make lists and schedules to stay organized.,7,42,0,Judging
I feel satisfied when I can check items off my to-do list.,7,24,0,Judging
I find it difficult to relax until I have completed my tasks.,7,46,0,Judging
I prefer to have deadlines to motivate me to complete tasks.,7,31,1,Judging
I enjoy having a sense of closure and completion.,7,28,1,Judging
I feel more productive when I have a clear plan in place.,7,43,1,Judging
I prefer to stick to my plans rather than being spontaneous.,7,49,0,Judging
I prefer quiet evenings at home rather than going out to parties.,8,36,1,Extroversion
I enjoy spending time alone with my thoughts.,8,27,0,Extroversion
I find large social gatherings overwhelming.,8,48,1,Extroversion
I feel drained after spending too much time in social settings.,8,27,1,Extroversion
I prefer deep conversations with a few close friends over small talk with many acquaintances.,8,23,0,Extroversion
I tend to listen more than I talk in social situations.,8,47,0,Extroversion
I feel energized after spending time alone.,8,30,1,Extroversion
I seek out opportunities to meet new people and try new experiences.,8,27,0,Extroversion
I feel comfortable being the centre of attention in a group.,8,35,0,Extroversion
I enjoy networking and meeting new people.,8,26,0,Extroversion
I feel excited and energized in social situations.,8,29,0,Extroversion
I often initiate conversations with strangers.,8,18,0,Extroversion
I enjoy being part of a large group and participating in group activities.,8,41,1,Extroversion
I prefer to work in a team rather than independently.,8,50,1,Extroversion
I feel comfortable speaking in front of large audiences.,8,40,1,Extroversion
I enjoy attending social events and parties.,8,44,0,Extroversion
I prefer to think before I speak in social situations.,8,48,1,Extroversion
I feel comfortable striking up conversations with people I do not know well.,8,18,0,Extroversion
I enjoy participating in group discussions and brainstorming sessions.,8,50,1,Extroversion
I feel energized by interacting with others.,8,39,1,Extroversion
I prefer to have a few close friends rather than many acquaintances.,8,20,0,Extroversion
I find it easy to approach strangers and start conversations.,8,30,1,Extroversion
I prefer activities that I can do alone rather than in a group.,8,34,1,Extroversion
I feel uncomfortable in situations where I do not know anyone.,8,21,1,Extroversion
I prefer to observe rather than participate in group activities.,8,49,0,Extroversion
"I trust my practical, hands-on experience more than abstract theories.",8,23,0,Intuition
I prefer to focus on details rather than seeing the big picture.,8,19,0,Intuition
I rely on facts and evidence when making decisions.,8,44,1,Intuition
I prefer to follow a step-by-step approach rather than experimenting with new ideas.,8,41,0,Intuition
I pay attention to the present moment rather than thinking about future possibilities.,8,26,0,Intuition
"I prefer concrete, tangible information over abstract concepts.",8,21,0,Intuition
I enjoy activities that require careful attention to detail.,8,42,1,Intuition
I prefer to learn through hands-on experience rather than theoretical study.,8,21,0,Intuition
I tend to notice small changes in my environment.,8,28,1,Intuition
I trust my senses to provide accurate information about the world.,8,44,0,Intuition
I enjoy using practical skills to solve problems.,8,20,0,Intuition
I focus on what is real and tangible rather than what could be.,8,46,0,Intuition
I prefer to stick to proven methods rather than trying new approaches.,8,50,0,Intuition
I trust my observations and experiences over theories and concepts.,8,22,1,Intuition
"I enjoy activities that engage my senses, like cooking or gardening.",8,42,1,Intuition
I prefer to rely on established procedures rather than improvising.,8,49,1,Intuition
I prefer to have all the facts before making a decision.,8,24,0,Intuition
I tend to focus on specifics rather than generalities.,8,28,0,Intuition
I am good at remembering details and specifics.,8,28,1,Intuition
I trust my intuition to guide me in uncertain situations.,8,44,0,Intuition
I enjoy brainstorming and exploring new possibilities.,8,47,1,Intuition
I often have hunches or gut feelings about things.,8,45,0,Intuition
I enjoy imagining future scenarios and possibilities.,8,19,0,Intuition
I tend to see patterns and connections between seemingly unrelated things.,8,28,0,Intuition
I prefer to explore multiple options rather than settling on one solution.,8,41,0,Intuition
I value logic and reason over emotions when making decisions.,8,47,0,Thinking
I tend to analyze situations objectively rather than considering how they make me feel.,8,45,1,Thinking
I prefer to give feedback based on facts and evidence rather than emotions.,8,29,0,Thinking
I believe it is important to maintain emotional detachment in professional settings.,8,46,0,Thinking
I prioritize fairness and justice over empathy and compassion.,8,36,1,Thinking
I tend to prioritize logical consistency over accommodating the feelings of others.,8,47,1,Thinking
I prefer to solve problems using logical analysis rather than empathetic understanding.,8,42,0,Thinking
I find it easier to express thoughts and ideas than emotions.,8,31,1,Thinking
"I believe in being honest and straightforward, even if it may hurt the feelings of the person I am speaking to.",8,25,0,Thinking
I value efficiency and effectiveness over maintaining harmony in relationships.,8,25,1,Thinking
I prefer to make decisions based on objective criteria rather than personal values.,8,20,1,Thinking
I tend to focus on the task at hand rather than the emotional atmosphere of a situation.,8,21,1,Thinking
I value honesty and transparency in relationships.,8,35,0,Thinking
I believe in constructive criticism even if it may be perceived as harsh.,8,27,0,Thinking
I prefer to keep my emotions private rather than sharing them with others.,8,38,0,Thinking
I tend to rely on logic rather than intuition when solving problems.,8,24,1,Thinking
I find it challenging to empathize with the emotions of others.,8,49,0,Thinking
I believe in treating everyone fairly and equally.,8,29,1,Thinking
I prefer to address conflicts rationally rather than emotionally.,8,31,0,Thinking
I believe it is important to remain objective in decision-making.,8,31,1,Thinking
I prioritize practical considerations over emotional ones.,8,45,1,Thinking
I tend to suppress my emotions in favour of logical reasoning.,8,42,0,Thinking
I find it easier to discuss ideas and concepts than personal feelings.,8,26,1,Thinking
I prefer to rely on facts and evidence rather than intuition or gut feelings.,8,20,0,Thinking
I believe in being straightforward in communication.,8,35,1,Thinking
I prefer to plan rather than go with the flow.,8,30,1,Judging
I feel uncomfortable with uncertainty and prefer to have a clear plan.,8,33,1,Judging
I like to make decisions quickly rather than keeping my options open.,8,37,0,Judging
I feel stressed when things are left to the last minute.,8,25,0,Judging
I enjoy having a structured routine and sticking to a schedule.,8,43,1,Judging
I prefer to complete tasks before moving on to new ones.,8,37,1,Judging
I feel satisfied when I accomplish my goals on schedule.,8,29,0,Judging
I like to have a clear plan of action before starting a project.,8,32,0,Judging
I find it difficult to adapt to changes in plans.,8,24,1,Judging
I prefer to work on one task at a time rather than juggle multiple tasks.,8,38,1,Judging
I feel more comfortable when things are organized and predictable.,8,39,0,Judging
I enjoy setting goals and working towards achieving them.,8,23,0,Judging
I prefer to follow a set schedule rather than improvise.,8,48,1,Judging
I feel anxious when I have too many open-ended tasks.,8,29,1,Judging
I tend to stick to my plans even if unexpected opportunities arise.,8,47,1,Judging
I prefer to make decisions quickly rather than ponder all the possibilities.,8,46,0,Judging
I enjoy having a clear sense of direction and purpose.,8,42,0,Judging
I feel unsettled when plans change at the last minute.,8,36,0,Judging
I prefer to make lists and schedules to stay organized.,8,50,0,Judging
I feel satisfied when I can check items off my to-do list.,8,37,1,Judging
I find it difficult to relax until I have completed my tasks.,8,20,1,Judging
I prefer to have deadlines to motivate me to complete tasks.,8,39,0,Judging
I enjoy having a sense of closure and completion.,8,32,0,Judging
I feel more productive when I have a clear plan in place.,8,45,0,Judging
I prefer to stick to my plans rather than being spontaneous.,8,26,1,Judging
I prefer quiet evenings at home rather than going out to parties.,9,47,0,Extroversion
I enjoy spending time alone with my thoughts.,9,36,0,Extroversion
I find large social gatherings overwhelming.,9,35,1,Extroversion
I feel drained after spending too much time in social settings.,9,28,0,Extroversion
I prefer deep conversations with a few close friends over small talk with many acquaintances.,9,18,1,Extroversion
I tend to listen more than I talk in social situations.,9,43,0,Extroversion
I feel energized after spending time alone.,9,28,1,Extroversion
I seek out opportunities to meet new people and try new experiences.,9,22,0,Extroversion
I feel comfortable being the centre of attention in a group.,9,27,0,Extroversion
I enjoy networking and meeting new people.,9,35,1,Extroversion
I feel excited and energized in social situations.,9,50,1,Extroversion
I often initiate conversations with strangers.,9,40,0,Extroversion
I enjoy being part of a large group and participating in group activities.,9,49,0,Extroversion
I prefer to work in a team rather than independently.,9,23,0,Extroversion
I feel comfortable speaking in front of large audiences.,9,28,0,Extroversion
I enjoy attending social events and parties.,9,45,0,Extroversion
I prefer to think before I speak in social situations.,9,32,1,Extroversion
I feel comfortable striking up conversations with people I do not know well.,9,47,0,Extroversion
I enjoy participating in group discussions and brainstorming sessions.,9,31,1,Extroversion
I feel energized by interacting with others.,9,42,1,Extroversion
I prefer to have a few close friends rather than many acquaintances.,9,37,0,Extroversion
I find it easy to approach strangers and start conversations.,9,42,0,Extroversion
I prefer activities that I can do alone rather than in a group.,9,31,0,Extroversion
I feel uncomfortable in situations where I do not know anyone.,9,23,0,Extroversion
I prefer to observe rather than participate in group activities.,9,22,0,Extroversion
"I trust my practical, hands-on experience more than abstract theories.",9,41,1,Intuition
I prefer to focus on details rather than seeing the big picture.,9,29,0,Intuition
I rely on facts and evidence when making decisions.,9,21,1,Intuition
I prefer to follow a step-by-step approach rather than experimenting with new ideas.,9,36,0,Intuition
I pay attention to the present moment rather than thinking about future possibilities.,9,39,0,Intuition
"I prefer concrete, tangible information over abstract concepts.",9,18,0,Intuition
I enjoy activities that require careful attention to detail.,9,42,0,Intuition
I prefer to learn through hands-on experience rather than theoretical study.,9,30,1,Intuition
I tend to notice small changes in my environment.,9,45,0,Intuition
I trust my senses to provide accurate information about the world.,9,22,1,Intuition
I enjoy using practical skills to solve problems.,9,44,1,Intuition
I focus on what is real and tangible rather than what could be.,9,40,0,Intuition
I prefer to stick to proven methods rather than trying new approaches.,9,31,1,Intuition
I trust my observations and experiences over theories and concepts.,9,21,1,Intuition
"I enjoy activities that engage my senses, like cooking or gardening.",9,40,1,Intuition
I prefer to rely on established procedures rather than improvising.,9,41,1,Intuition
I prefer to have all the facts before making a decision.,9,21,1,Intuition
I tend to focus on specifics rather than generalities.,9,35,1,Intuition
I am good at remembering details and specifics.,9,46,0,Intuition
I trust my intuition to guide me in uncertain situations.,9,50,0,Intuition
I enjoy brainstorming and exploring new possibilities.,9,24,0,Intuition
I often have hunches or gut feelings about things.,9,24,0,Intuition
I enjoy imagining future scenarios and possibilities.,9,45,0,Intuition
I tend to see patterns and connections between seemingly unrelated things.,9,44,1,Intuition
I prefer to explore multiple options rather than settling on one solution.,9,40,0,Intuition
I value logic and reason over emotions when making decisions.,9,29,0,Thinking
I tend to analyze situations objectively rather than considering how they make me feel.,9,40,1,Thinking
I prefer to give feedback based on facts and evidence rather than emotions.,9,38,0,Thinking
I believe it is important to maintain emotional detachment in professional settings.,9,50,0,Thinking
I prioritize fairness and justice over empathy and compassion.,9,38,0,Thinking
I tend to prioritize logical consistency over accommodating the feelings of others.,9,33,0,Thinking
I prefer to solve problems using logical analysis rather than empathetic understanding.,9,41,1,Thinking
I find it easier to express thoughts and ideas than emotions.,9,49,0,Thinking
"I believe in being honest and straightforward, even if it may hurt the feelings of the person I am speaking to.",9,50,0,Thinking
I value efficiency and effectiveness over maintaining harmony in relationships.,9,29,1,Thinking
I prefer to make decisions based on objective criteria rather than personal values.,9,48,0,Thinking
I tend to focus on the task at hand rather than the emotional atmosphere of a situation.,9,38,1,Thinking
I value honesty and transparency in relationships.,9,25,0,Thinking
I believe in constructive criticism even if it may be perceived as harsh.,9,28,0,Thinking
I prefer to keep my emotions private rather than sharing them with others.,9,25,0,Thinking
I tend to rely on logic rather than intuition when solving problems.,9,36,0,Thinking
I find it challenging to empathize with the emotions of others.,9,19,0,Thinking
I believe in treating everyone fairly and equally.,9,32,1,Thinking
I prefer to address conflicts rationally rather than emotionally.,9,47,0,Thinking
I believe it is important to remain objective in decision-making.,9,39,0,Thinking
I prioritize practical considerations over emotional ones.,9,25,0,Thinking
I tend to suppress my emotions in favour of logical reasoning.,9,50,1,Thinking
I find it easier to discuss ideas and concepts than personal feelings.,9,24,0,Thinking
I prefer to rely on facts and evidence rather than intuition or gut feelings.,9,35,1,Thinking
I believe in being straightforward in communication.,9,40,0,Thinking
I prefer to plan rather than go with the flow.,9,19,0,Judging
I feel uncomfortable with uncertainty and prefer to have a clear plan.,9,45,0,Judging
I like to make decisions quickly rather than keeping my options open.,9,35,1,Judging
I feel stressed when things are left to the last minute.,9,33,1,Judging
I enjoy having a structured routine and sticking to a schedule.,9,19,1,Judging
I prefer to complete tasks before moving on to new ones.,9,50,0,Judging
I feel satisfied when I accomplish my goals on schedule.,9,38,0,Judging
I like to have a clear plan of action before starting a project.,9,43,0,Judging
I find it difficult to adapt to changes in plans.,9,21,1,Judging
I prefer to work on one task at a time rather than juggle multiple tasks.,9,22,1,Judging
I feel more comfortable when things are organized and predictable.,9,29,1,Judging
I enjoy setting goals and working towards achieving them.,9,41,1,Judging
I prefer to follow a set schedule rather than improvise.,9,20,0,Judging
I feel anxious when I have too many open-ended tasks.,9,50,1,Judging
I tend to stick to my plans even if unexpected opportunities arise.,9,50,1,Judging
I prefer to make decisions quickly rather than ponder all the possibilities.,9,27,1,Judging
I enjoy having a clear sense of direction and purpose.,9,46,1,Judging
I feel unsettled when plans change at the last minute.,9,49,0,Judging
I prefer to make lists and schedules to stay organized.,9,45,0,Judging
I feel satisfied when I can check items off my to-do list.,9,35,1,Judging
I find it difficult to relax until I have completed my tasks.,9,49,1,Judging
I prefer to have deadlines to motivate me to complete tasks.,9,24,1,Judging
I enjoy having a sense of closure and completion.,9,28,1,Judging
I feel more productive when I have a clear plan in place.,9,33,1,Judging
I prefer to stick to my plans rather than being spontaneous.,9,20,0,Judging
I prefer quiet evenings at home rather than going out to parties.,10,25,0,Extroversion
I enjoy spending time alone with my thoughts.,10,47,0,Extroversion
I find large social gatherings overwhelming.,10,20,1,Extroversion
I feel drained after spending too much time in social settings.,10,36,1,Extroversion
I prefer deep conversations with a few close friends over small talk with many acquaintances.,10,48,1,Extroversion
I tend to listen more than I talk in social situations.,10,29,1,Extroversion
I feel energized after spending time alone.,10,18,1,Extroversion
I seek out opportunities to meet new people and try new experiences.,10,45,1,Extroversion
I feel comfortable being the centre of attention in a group.,10,40,1,Extroversion
I enjoy networking and meeting new people.,10,32,0,Extroversion
I feel excited and energized in social situations.,10,31,1,Extroversion
I often initiate conversations with strangers.,10,18,1,Extroversion
I enjoy being part of a large group and participating in group activities.,10,23,0,Extroversion
I prefer to work in a team rather than independently.,10,42,1,Extroversion
I feel comfortable speaking in front of large audiences.,10,27,0,Extroversion
I enjoy attending social events and parties.,10,40,1,Extroversion
I prefer to think before I speak in social situations.,10,23,1,Extroversion
I feel comfortable striking up conversations with people I do not know well.,10,37,1,Extroversion
I enjoy participating in group discussions and brainstorming sessions.,10,42,1,Extroversion
I feel energized by interacting with others.,10,40,1,Extroversion
I prefer to have a few close friends rather than many acquaintances.,10,18,1,Extroversion
I find it easy to approach strangers and start conversations.,10,50,1,Extroversion
I prefer activities that I can do alone rather than in a group.,10,39,0,Extroversion
I feel uncomfortable in situations where I do not know anyone.,10,30,1,Extroversion
I prefer to observe rather than participate in group activities.,10,27,0,Extroversion
"I trust my practical, hands-on experience more than abstract theories.",10,30,0,Intuition
I prefer to focus on details rather than seeing the big picture.,10,18,0,Intuition
I rely on facts and evidence when making decisions.,10,38,0,Intuition
I prefer to follow a step-by-step approach rather than experimenting with new ideas.,10,45,0,Intuition
I pay attention to the present moment rather than thinking about future possibilities.,10,33,0,Intuition
"I prefer concrete, tangible information over abstract concepts.",10,47,1,Intuition
I enjoy activities that require careful attention to detail.,10,19,1,Intuition
I prefer to learn through hands-on experience rather than theoretical study.,10,22,1,Intuition
I tend to notice small changes in my environment.,10,20,0,Intuition
I trust my senses to provide accurate information about the world.,10,38,1,Intuition
I enjoy using practical skills to solve problems.,10,25,0,Intuition
I focus on what is real and tangible rather than what could be.,10,31,1,Intuition
I prefer to stick to proven methods rather than trying new approaches.,10,25,0,Intuition
I trust my observations and experiences over theories and concepts.,10,35,0,Intuition
"I enjoy activities that engage my senses, like cooking or gardening.",10,40,0,Intuition
I prefer to rely on established procedures rather than improvising.,10,49,0,Intuition
I prefer to have all the facts before making a decision.,10,46,0,Intuition
I tend to focus on specifics rather than generalities.,10,32,1,Intuition
I am good at remembering details and specifics.,10,50,1,Intuition
I trust my intuition to guide me in uncertain situations.,10,29,1,Intuition
I enjoy brainstorming and exploring new possibilities.,10,47,1,Intuition
I often have hunches or gut feelings about things.,10,23,1,Intuition
I enjoy imagining future scenarios and possibilities.,10,43,1,Intuition
I tend to see patterns and connections between seemingly unrelated things.,10,22,0,Intuition
I prefer to explore multiple options rather than settling on one solution.,10,40,1,Intuition
I value logic and reason over emotions when making decisions.,10,18,0,Thinking
I tend to analyze situations objectively rather than considering how they make me feel.,10,49,1,Thinking
I prefer to give feedback based on facts and evidence rather than emotions.,10,32,0,Thinking
I believe it is important to maintain emotional detachment in professional settings.,10,24,0,Thinking
I prioritize fairness and justice over empathy and compassion.,10,43,0,Thinking
I tend to prioritize logical consistency over accommodating the feelings of others.,10,28,1,Thinking
I prefer to solve problems using logical analysis rather than empathetic understanding.,10,49,0,Thinking
I find it easier to express thoughts and ideas than emotions.,10,31,1,Thinking
"I believe in being honest and straightforward, even if it may hurt the feelings of the person I am speaking to.",10,28,1,Thinking
I value efficiency and effectiveness over maintaining harmony in relationships.,10,42,1,Thinking
I prefer to make decisions based on objective criteria rather than personal values.,10,41,1,Thinking
I tend to focus on the task at hand rather than the emotional atmosphere of a situation.,10,37,0,Thinking
I value honesty and transparency in relationships.,10,29,1,Thinking
I believe in constructive criticism even if it may be perceived as harsh.,10,37,0,Thinking
I prefer to keep my emotions private rather than sharing them with others.,10,40,0,Thinking
I tend to rely on logic rather than intuition when solving problems.,10,49,0,Thinking
I find it challenging to empathize with the emotions of others.,10,50,0,Thinking
I believe in treating everyone fairly and equally.,10,28,1,Thinking
I prefer to address conflicts rationally rather than emotionally.,10,39,0,Thinking
I believe it is important to remain objective in decision-making.,10,38,1,Thinking
I prioritize practical considerations over emotional ones.,10,44,0,Thinking
I tend to suppress my emotions in favour of logical reasoning.,10,40,1,Thinking
I find it easier to discuss ideas and concepts than personal feelings.,10,33,0,Thinking
I prefer to rely on facts and evidence rather than intuition or gut feelings.,10,36,0,Thinking
I believe in being straightforward in communication.,10,42,1,Thinking
I prefer to plan rather than go with the flow.,10,39,0,Judging
I feel uncomfortable with uncertainty and prefer to have a clear plan.,10,49,0,Judging
I like to make decisions quickly rather than keeping my options open.,10,46,1,Judging
I feel stressed when things are left to the last minute.,10,34,0,Judging
I enjoy having a structured routine and sticking to a schedule.,10,24,1,Judging
I prefer to complete tasks before moving on to new ones.,10,48,1,Judging
I feel satisfied when I accomplish my goals on schedule.,10,46,1,Judging
I like to have a clear plan of action before starting a project.,10,41,0,Judging
I find it difficult to adapt to changes in plans.,10,24,1,Judging
I prefer to work on one task at a time rather than juggle multiple tasks.,10,23,1,Judging
I feel more comfortable when things are organized and predictable.,10,31,1,Judging
I enjoy setting goals and working towards achieving them.,10,25,0,Judging
I prefer to follow a set schedule rather than improvise.,10,36,1,Judging
I feel anxious when I have too many open-ended tasks.,10,37,1,Judging
I tend to stick to my plans even if unexpected opportunities arise.,10,39,1,Judging
I prefer to make decisions quickly rather than ponder all the possibilities.,10,22,1,Judging
I enjoy having a clear sense of direction and purpose.,10,49,0,Judging
I feel unsettled when plans change at the last minute.,10,37,1,Judging
I prefer to make lists and schedules to stay organized.,10,26,1,Judging
I feel satisfied when I can check items off my to-do list.,10,42,1,Judging
I find it difficult to relax until I have completed my tasks.,10,25,0,Judging
I prefer to have deadlines to motivate me to complete tasks.,10,47,0,Judging
I enjoy having a sense of closure and completion.,10,20,0,Judging
I feel more productive when I have a clear plan in place.,10,40,1,Judging
I prefer to stick to my plans rather than being spontaneous.,10,42,0,Judging
I prefer quiet evenings at home rather than going out to parties.,1,45,0,Introversion
I enjoy spending time alone with my thoughts.,1,26,1,Introversion
I find large social gatherings overwhelming.,1,36,1,Introversion
I feel drained after spending too much time in social settings.,1,21,0,Introversion
I prefer deep conversations with a few close friends over small talk with many acquaintances.,1,29,1,Introversion
I tend to listen more than I talk in social situations.,1,48,0,Introversion
I feel energized after spending time alone.,1,38,0,Introversion
I seek out opportunities to meet new people and try new experiences.,1,45,1,Introversion
I feel comfortable being the centre of attention in a group.,1,36,1,Introversion
I enjoy networking and meeting new people.,1,44,1,Introversion
I feel excited and energized in social situations.,1,33,0,Introversion
I often initiate conversations with strangers.,1,30,1,Introversion
I enjoy being part of a large group and participating in group activities.,1,42,1,Introversion
I prefer to work in a team rather than independently.,1,32,0,Introversion
I feel comfortable speaking in front of large audiences.,1,23,0,Introversion
I enjoy attending social events and parties.,1,41,1,Introversion
I prefer to think before I speak in social situations.,1,26,0,Introversion
I feel comfortable striking up conversations with people I do not know well.,1,49,1,Introversion
I enjoy participating in group discussions and brainstorming sessions.,1,48,0,Introversion
I feel energized by interacting with others.,1,47,1,Introversion
I prefer to have a few close friends rather than many acquaintances.,1,22,1,Introversion
I find it easy to approach strangers and start conversations.,1,45,1,Introversion
I prefer activities that I can do alone rather than in a group.,1,24,0,Introversion
I feel uncomfortable in situations where I do not know anyone.,1,48,0,Introversion
I prefer to observe rather than participate in group activities.,1,26,1,Introversion
"I trust my practical, hands-on experience more than abstract theories.",1,24,1,Sensing
I prefer to focus on details rather than seeing the big picture.,1,50,0,Sensing
I rely on facts and evidence when making decisions.,1,33,1,Sensing
I prefer to follow a step-by-step approach rather than experimenting with new ideas.,1,37,1,Sensing
I pay attention to the present moment rather than thinking about future possibilities.,1,49,0,Sensing
"I prefer concrete, tangible information over abstract concepts.",1,33,0,Sensing
I enjoy activities that require careful attention to detail.,1,34,0,Sensing
I prefer to learn through hands-on experience rather than theoretical study.,1,25,1,Sensing
I tend to notice small changes in my environment.,1,50,0,Sensing
I trust my senses to provide accurate information about the world.,1,22,1,Sensing
I enjoy using practical skills to solve problems.,1,35,1,Sensing
I focus on what is real and tangible rather than what could be.,1,37,1,Sensing
I prefer to stick to proven methods rather than trying new approaches.,1,47,0,Sensing
I trust my observations and experiences over theories and concepts.,1,39,0,Sensing
"I enjoy activities that engage my senses, like cooking or gardening.",1,48,0,Sensing
I prefer to rely on established procedures rather than improvising.,1,44,0,Sensing
I prefer to have all the facts before making a decision.,1,41,1,Sensing
I tend to focus on specifics rather than generalities.,1,35,0,Sensing
I am good at remembering details and specifics.,1,44,0,Sensing
I trust my intuition to guide me in uncertain situations.,1,33,0,Sensing
I enjoy brainstorming and exploring new possibilities.,1,35,1,Sensing
I often have hunches or gut feelings about things.,1,50,0,Sensing
I enjoy imagining future scenarios and possibilities.,1,18,1,Sensing
I tend to see patterns and connections between seemingly unrelated things.,1,42,1,Sensing
I prefer to explore multiple options rather than settling on one solution.,1,40,0,Sensing
I value logic and reason over emotions when making decisions.,1,20,1,Feeling
I tend to analyze situations objectively rather than considering how they make me feel.,1,31,1,Feeling
I prefer to give feedback based on facts and evidence rather than emotions.,1,22,0,Feeling
I believe it is important to maintain emotional detachment in professional settings.,1,28,1,Feeling
I prioritize fairness and justice over empathy and compassion.,1,31,0,Feeling
I tend to prioritize logical consistency over accommodating the feelings of others.,1,30,1,Feeling
I prefer to solve problems using logical analysis rather than empathetic understanding.,1,41,1,Feeling
I find it easier to express thoughts and ideas than emotions.,1,36,0,Feeling
"I believe in being honest and straightforward, even if it may hurt the feelings of the person I am speaking to.",1,23,1,Feeling
I value efficiency and effectiveness over maintaining harmony in relationships.,1,48,0,Feeling
I prefer to make decisions based on objective criteria rather than personal values.,1,36,0,Feeling
I tend to focus on the task at hand rather than the emotional atmosphere of a situation.,1,30,1,Feeling
I value honesty and transparency in relationships.,1,18,1,Feeling
I believe in constructive criticism even if it may be perceived as harsh.,1,48,1,Feeling
I prefer to keep my emotions private rather than sharing them with others.,1,50,0,Feeling
I tend to rely on logic rather than intuition when solving problems.,1,46,1,Feeling
I find it challenging to empathize with the emotions of others.,1,39,0,Feeling
I believe in treating everyone fairly and equally.,1,41,1,Feeling
I prefer to address conflicts rationally rather than emotionally.,1,35,1,Feeling
I believe it is important to remain objective in decision-making.,1,18,0,Feeling
I prioritize practical considerations over emotional ones.,1,39,1,Feeling
I tend to suppress my emotions in favour of logical reasoning.,1,28,1,Feeling
I find it easier to discuss ideas and concepts than personal feelings.,1,24,1,Feeling
I prefer to rely on facts and evidence rather than intuition or gut feelings.,1,48,0,Feeling
I believe in being straightforward in communication.,1,23,1,Feeling
I prefer to plan rather than go with the flow.,1,48,1,Perceiving
I feel uncomfortable with uncertainty and prefer to have a clear plan.,1,26,0,Perceiving
I like to make decisions quickly rather than keeping my options open.,1,31,1,Perceiving
I feel stressed when things are left to the last minute.,1,35,1,Perceiving
I enjoy having a structured routine and sticking to a schedule.,1,47,0,Perceiving
I prefer to complete tasks before moving on to new ones.,1,39,1,Perceiving
I feel satisfied when I accomplish my goals on schedule.,1,26,1,Perceiving
I like to have a clear plan of action before starting a project.,1,26,0,Perceiving
I find it difficult to adapt to changes in plans.,1,41,1,Perceiving
I prefer to work on one task at a time rather than juggle multiple tasks.,1,35,1,Perceiving
I feel more comfortable when things are organized and predictable.,1,41,0,Perceiving
I enjoy setting goals and working towards achieving them.,1,31,0,Perceiving
I prefer to follow a set schedule rather than improvise.,1,42,0,Perceiving
I feel anxious when I have too many open-ended tasks.,1,18,0,Perceiving
I tend to stick to my plans even if unexpected opportunities arise.,1,32,0,Perceiving
I prefer to make decisions quickly rather than ponder all the possibilities.,1,38,1,Perceiving
I enjoy having a clear sense of direction and purpose.,1,36,0,Perceiving
I feel unsettled when plans change at the last minute.,1,26,1,Perceiving
I prefer to make lists and schedules to stay organized.,1,26,1,Perceiving
I feel satisfied when I can check items off my to-do list.,1,27,1,Perceiving
I find it difficult to relax until I have completed my tasks.,1,30,0,Perceiving
I prefer to have deadlines to motivate me to complete tasks.,1,37,0,Perceiving
I enjoy having a sense of closure and completion.,1,49,0,Perceiving
I feel more productive when I have a clear plan in place.,1,22,0,Perceiving
I prefer to stick to my plans rather than being spontaneous.,1,25,0,Perceiving
I prefer quiet evenings at home rather than going out to parties.,2,26,1,Introversion
I enjoy spending time alone with my thoughts.,2,33,1,Introversion
I find large social gatherings overwhelming.,2,42,0,Introversion
I feel drained after spending too much time in social settings.,2,31,1,Introversion
I prefer deep conversations with a few close friends over small talk with many acquaintances.,2,48,0,Introversion
I tend to listen more than I talk in social situations.,2,30,1,Introversion
I feel energized after spending time alone.,2,20,0,Introversion
I seek out opportunities to meet new people and try new experiences.,2,22,0,Introversion
I feel comfortable being the centre of attention in a group.,2,40,1,Introversion
I enjoy networking and meeting new people.,2,46,1,Introversion
I feel excited and energized in social situations.,2,40,0,Introversion
I often initiate conversations with strangers.,2,49,0,Introversion
I enjoy being part of a large group and participating in group activities.,2,40,1,Introversion
I prefer to work in a team rather than independently.,2,27,0,Introversion
I feel comfortable speaking in front of large audiences.,2,44,1,Introversion
I enjoy attending social events and parties.,2,48,0,Introversion
I prefer to think before I speak in social situations.,2,44,1,Introversion
I feel comfortable striking up conversations with people I do not know well.,2,29,0,Introversion
I enjoy participating in group discussions and brainstorming sessions.,2,28,1,Introversion
I feel energized by interacting with others.,2,46,1,Introversion
I prefer to have a few close friends rather than many acquaintances.,2,22,0,Introversion
I find it easy to approach strangers and start conversations.,2,40,1,Introversion
I prefer activities that I can do alone rather than in a group.,2,39,0,Introversion
I feel uncomfortable in situations where I do not know anyone.,2,31,0,Introversion
I prefer to observe rather than participate in group activities.,2,42,0,Introversion
"I trust my practical, hands-on experience more than abstract theories.",2,20,0,Sensing
I prefer to focus on details rather than seeing the big picture.,2,36,1,Sensing
I rely on facts and evidence when making decisions.,2,31,1,Sensing
I prefer to follow a step-by-step approach rather than experimenting with new ideas.,2,47,1,Sensing
I pay attention to the present moment rather than thinking about future possibilities.,2,36,1,Sensing
"I prefer concrete, tangible information over abstract concepts.",2,18,1,Sensing
I enjoy activities that require careful attention to detail.,2,36,1,Sensing
I prefer to learn through hands-on experience rather than theoretical study.,2,34,0,Sensing
I tend to notice small changes in my environment.,2,44,0,Sensing
